Company Name,Investor Name,Description,Customer Geography,Sector,Company Geography
Rezi,Stratos,Apartment LIsting,USA,Real Estate,USA
Three Colts,Stratos,Solutions for Amazon Businesses,Worldwide,ECommerce,UK
Braavo,Stratos,Funding for mobile app and gaming business,Worldwide,Internet,USA
Selfin,Almavest,Loans for MSMEs,India,Consumer Lending,India
Upwards,Almavest,Instant Loans,India,Consumer Lending,India
Impact Water,Almavest,Portable Water Solutions,"Kenya, Rwanda, Uganda, Nigeria",Sustainability,USA
Greenway Appliances,Almavest,Cleaner Cooking Solutions,"India, Africa",Sustainability,India
Trella,Almavest,Trucking Solutions,"Pakistan, UAE, Egypt",Transportation,Egypt
Juancho Te Presta,Almavest,Instant Loans,Columbia,Consumer Lending,Columbia
Branch,Cauris 1,Instant Loans,"India, Kenya, Nigeria, Tanzania",Consumer Lending,India
Float,Cauris 1,Loans for MSMEs,"Nigeria, Ghana and Kenya",Consumer Lending,Ghana
YoFio,Cauris 1,Loans for MSMEs,Mexico,Consumer Lending,Mexico
Lipa Later,Cauris 2,BNPL,"Kenya, Rwanda, Uganda, Nigeria",Consumer Lending,Kenya
Asaak,Cauris 2,Asset Financing,Uganda,Consumer Lending,Uganda
Jetstream,Cauris 2,Credit for exporters,"Ghana, Nigeria",Institutional Lending,Ghana
Uploan,Lend East,Credit Scoring for Employees,Phillipines,Consumer Lending,Phillipenes
Oriente,Lend East,Loans for entrepreneurs,Phillipines,Consumer Lending,Phillipines
Julo,Lend East,Instant Loans,Indonesia,Consumer Lending,Indonesia
Erudifi,lend East,Education Loans,Indonesia,Consumer Lending,Indonesia
Akulaku,Lend East,Neobank,Indonesia,Consumer Lending,Singapore
Atome,Lend East,EMI Financing,"Singapore, Indonesia, Phillipines, HongKong",Consumer Lending,Singapore
Payjoy,Payjoy,Loans for mobile financing,"Mexico, Brazil, Colombia, India, Kenya, South Africa",Consumer Lending,Mexico
Quickcheck,Quickcheck,Loans for nigerian citizens,Nigeria,Consumer Lending,Nigeria
Aspire,Aspire,Bank for small and medium companies,"Singapore, Indonesia, Thailand, Malaysia, Vietnam",Banking,Singapore
Tugende,Tugende,Motorcycle FInancing,"Uganda, Kenya",Consumer Lending,Uganda